key,scenario_id,family,method,budget,model_key,model,selected_turn_ids,context_tokens,build_latency_s,summarized_turn_ids,stale_superseder_missing,context_precision,context_recall,context_f1,context_sufficiency,irrelevant_context_ratio,n_selected,n_evidence,n_distractors_selected,selected_turn_tokens,model_reported,input_tokens,output_tokens,answer_latency_s,stop_reason,usd,ts,checklist_score,all_required_satisfied,distractor_leakage,judge_model,judge_input_tokens,judge_output_tokens,method_label
two_branch_join_007|full_history|-|us.anthropic.claude-sonnet-4-6,two_branch_join_007,two_branch_join,full_history,,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8', 't9', 't10']",1030,0.0018,[],[],0.8,1.0,0.888888888888889,1,0.20485436893203884,10,8,2,1030,claude-sonnet-4-6,1244,174,3.602,end_turn,0.006342,1789265925.048795,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1063,295,full_history
two_branch_join_006|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_006,two_branch_join,oracle_dag,,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2', 't3', 't4', 't7', 't8']",753,0.0011,[],[],1.0,1.0,1.0,1,0.0,6,6,0,753,anthropic.claude-haiku-4-5-20251001-v1:0,950,230,11.066,end_turn,0.0021,1789265928.17324,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1105,241,oracle_dag
two_branch_join_006|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,two_branch_join_006,two_branch_join,semantic_retrieval,1024.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't6', 't7', 't8']",883,0.0015,[],[],0.8571428571428571,1.0,0.923076923076923,1,0.14722536806342015,7,6,1,883,claude-sonnet-4-6,1093,265,6.19,end_turn,0.007254,1789265929.034419,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1140,253,semantic_retrieval@1024
two_branch_join_007|sliding_window|1024|us.anthropic.claude-sonnet-4-6,two_branch_join_007,two_branch_join,sliding_window,1024.0,response_a,us.anthropic.claude-sonnet-4-6,"['t2', 't3', 't4', 't5', 't6', 't7', 't8', 't9', 't10']",920,0.002,[],[],0.7777777777777778,0.875,0.823529411764706,0,0.22934782608695653,9,8,2,920,claude-sonnet-4-6,1125,172,4.227,end_turn,0.005955,1789265929.2797272,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1061,288,sliding_window@1024
two_branch_join_006|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_006,two_branch_join,semantic_retrieval,1024.0,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2', 't3', 't4', 't6', 't7', 't8']",883,0.0011,[],[],0.8571428571428571,1.0,0.923076923076923,1,0.14722536806342015,7,6,1,883,anthropic.claude-haiku-4-5-20251001-v1:0,1092,214,11.79,end_turn,0.002162,1789265935.548527,0.75,0,0,us.anthropic.claude-opus-4-6-v1,1089,327,semantic_retrieval@1024
two_branch_join_007|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,two_branch_join_007,two_branch_join,semantic_retrieval,1024.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't6', 't7', 't8', 't9', 't10']",924,0.0015,[],[],0.8888888888888888,1.0,0.9411764705882353,1,0.11363636363636363,9,8,1,924,claude-sonnet-4-6,1133,148,5.473,end_turn,0.005619,1789265941.02432,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1037,298,semantic_retrieval@1024
two_branch_join_007|rolling_summary|1024|us.anthropic.claude-sonnet-4-6,two_branch_join_007,two_branch_join,rolling_summary,1024.0,response_a,us.anthropic.claude-sonnet-4-6,"['t2', 't3', 't4', 't5', 't6', 't7', 't8', 't9', 't10']",1036,5.1293,['t1'],[],0.7777777777777778,0.875,0.823529411764706,0,0.22934782608695653,9,8,2,920,claude-sonnet-4-6,1252,176,13.224,end_turn,0.006396,1789265947.3891032,0.75,0,0,us.anthropic.claude-opus-4-6-v1,1065,305,rolling_summary@1024
two_branch_join_007|rolling_summary|2048|us.anthropic.claude-sonnet-4-6,two_branch_join_007,two_branch_join,rolling_summary,2048.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8', 't9', 't10']",1030,0.002,[],[],0.8,1.0,0.888888888888889,1,0.20485436893203884,10,8,2,1030,claude-sonnet-4-6,1244,140,12.176,end_turn,0.005832,1789265953.901855,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1029,286,rolling_summary@2048
two_branch_join_007|sliding_window|2048|us.anthropic.claude-sonnet-4-6,two_branch_join_007,two_branch_join,sliding_window,2048.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8', 't9', 't10']",1030,0.0018,[],[],0.8,1.0,0.888888888888889,1,0.20485436893203884,10,8,2,1030,claude-sonnet-4-6,1244,150,4.123,end_turn,0.005982,1789265958.645996,1.0,1,0,global.anthropic.claude-opus-4-6-v1,1039,290,sliding_window@2048
two_branch_join_007|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_007,two_branch_join,full_history,,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8', 't9', 't10']",1030,0.0016,[],[],0.8,1.0,0.888888888888889,1,0.20485436893203884,10,8,2,1030,anthropic.claude-haiku-4-5-20251001-v1:0,1243,148,1.867,end_turn,0.001983,1789265960.515808,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1037,288,full_history
