key,scenario_id,family,model_key,method_label,context_tokens,context_precision,irrelevant_context_ratio,output_tokens,checklist_opus,leakage_opus,checklist_llama,leakage_llama
resume_013|sliding_window|1024|us.anthropic.claude-sonnet-4-6,resume_013,resume,response_a,sliding_window@1024,906,0.2857142857142857,0.7141280353200883,173,0.75,0.0,0.75,0.0
resume_013|rolling_summary|2048|us.anthropic.claude-sonnet-4-6,resume_013,resume,response_a,rolling_summary@2048,906,0.2857142857142857,0.7141280353200883,181,0.75,0.0,0.75,0.0
resume_012|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,resume_012,resume,response_b,oracle_tree,641,1.0,0.0,69,1.0,0.0,1.0,0.0
resume_013|semantic_retrieval|2048|us.anthropic.claude-sonnet-4-6,resume_013,resume,response_a,semantic_retrieval@2048,906,0.2857142857142857,0.7141280353200883,181,1.0,0.0,0.75,0.0
resume_013|rolling_summary|1024|us.anthropic.claude-sonnet-4-6,resume_013,resume,response_a,rolling_summary@1024,906,0.2857142857142857,0.7141280353200883,197,0.75,0.0,0.75,0.0
resume_013|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,resume_013,resume,response_a,semantic_retrieval@1024,906,0.2857142857142857,0.7141280353200883,173,0.75,0.0,0.75,0.0
resume_013|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,resume_013,resume,response_b,full_history,906,0.2857142857142857,0.7141280353200883,161,1.0,0.0,1.0,0.0
resume_013|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,resume_013,resume,response_b,sliding_window@1024,906,0.2857142857142857,0.7141280353200883,161,1.0,0.0,1.0,0.0
resume_013|oracle_tree|-|us.anthropic.claude-sonnet-4-6,resume_013,resume,response_a,oracle_tree,259,1.0,0.0,225,0.75,0.0,0.75,0.0
resume_013|sliding_window|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,resume_013,resume,response_b,sliding_window@2048,906,0.2857142857142857,0.7141280353200883,161,1.0,0.0,1.0,0.0
resume_013|rolling_summary|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,resume_013,resume,response_b,rolling_summary@1024,906,0.2857142857142857,0.7141280353200883,161,1.0,0.0,1.0,0.0
resume_013|rolling_summary|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,resume_013,resume,response_b,rolling_summary@2048,906,0.2857142857142857,0.7141280353200883,161,1.0,0.0,1.0,0.0
resume_013|sliding_window|2048|us.anthropic.claude-sonnet-4-6,resume_013,resume,response_a,sliding_window@2048,906,0.2857142857142857,0.7141280353200883,146,0.75,0.0,0.75,0.0
resume_013|semantic_retrieval|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,resume_013,resume,response_b,semantic_retrieval@2048,906,0.2857142857142857,0.7141280353200883,161,1.0,0.0,1.0,0.0
resume_013|oracle_dag|-|us.anthropic.claude-sonnet-4-6,resume_013,resume,response_a,oracle_dag,259,1.0,0.0,241,0.75,0.0,0.75,0.0
resume_013|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,resume_013,resume,response_b,oracle_tree,259,1.0,0.0,155,1.0,0.0,1.0,0.0
