model,judge,a,b,n,families,q_diff,q_ci_low,q_ci_high,p_noninferior,noninferior_ci,tok_diff,tok_diff_ci_low,tok_diff_ci_high,tok_ratio,tok_ratio_ci_low,tok_ratio_ci_high,confirmatory,direction,p_holm,noninferior_holm
response_b,opus,oracle_dag,rolling_summary@1024,145,all,0.0244,-0.0176,0.0667,0.0058,True,-516.7103,-568.8695,-462.8714,0.4768,0.4341,0.5221,False,reference_vs_baseline,,
response_b,opus,oracle_dag,rolling_summary@2048,145,all,0.0267,-0.0124,0.0672,0.0018,True,-763.6552,-875.7314,-656.3498,0.3814,0.3355,0.4313,False,reference_vs_baseline,,
response_b,opus,oracle_dag,full_history,145,all,0.0261,-0.0136,0.0666,0.0031,True,-1036.8483,-1259.851,-836.31,0.3123,0.2616,0.3707,False,reference_vs_baseline,,
response_b,opus,oracle_dag,sliding_window@1024,145,all,0.2117,0.1487,0.2746,0.0,True,-413.3793,-455.4624,-372.3019,0.5325,0.4874,0.5774,False,reference_vs_baseline,,
response_b,opus,oracle_dag,sliding_window@2048,145,all,0.1692,0.1077,0.2307,0.0,True,-712.6207,-808.1817,-619.6409,0.3979,0.3533,0.4471,False,reference_vs_baseline,,
response_c,opus,candidate_oracle@15,full_history,145,all,0.0305,0.0011,0.0609,0.0,True,-1035.4,-1261.0295,-834.2414,0.3133,0.2632,0.3714,False,reference_vs_baseline,,
response_c,opus,oracle_dag,full_history,145,all,0.0236,-0.0075,0.0557,0.0001,True,-1036.8483,-1261.4098,-830.0731,0.3123,0.2607,0.3712,False,reference_vs_baseline,,
pooled,opus,candidate_oracle@15,semantic_retrieval@1024,145,all,0.041,0.0134,0.0701,0.0,True,-420.8483,-462.6695,-378.371,0.5288,0.4849,0.5739,False,pooled,,
pooled,opus,candidate_oracle@15,semantic_retrieval@2048,145,all,0.0281,0.0013,0.0564,0.0,True,-715.5241,-814.87,-622.2257,0.3976,0.3519,0.4473,False,pooled,,
pooled,opus,candidate_oracle@15,rolling_summary@1024,145,all,0.0421,0.0149,0.0717,0.0,True,-522.9701,-575.9431,-468.3309,0.4746,0.4323,0.5196,False,pooled,,
pooled,opus,candidate_oracle@15,rolling_summary@2048,145,all,0.0493,0.0233,0.0782,0.0,True,-765.5379,-877.0877,-655.8778,0.3816,0.3354,0.4323,False,pooled,,
response_a,llama,candidate_oracle@15,semantic_retrieval@1024,145,all,0.0023,-0.0316,0.0362,0.0298,False,-420.8483,-462.2497,-378.6617,0.5288,0.4846,0.5736,False,reference_vs_baseline,0.0298,True
response_a,llama,candidate_oracle@15,semantic_retrieval@2048,145,all,0.0132,-0.019,0.0466,0.005,True,-715.5241,-813.0902,-620.2317,0.3976,0.3522,0.4476,False,reference_vs_baseline,0.015,True
response_a,llama,candidate_oracle@15,rolling_summary@1024,145,all,0.012,-0.0238,0.0486,0.011,True,-522.8621,-576.7381,-469.4666,0.4746,0.4313,0.5196,False,reference_vs_baseline,0.022,True
response_a,llama,candidate_oracle@15,rolling_summary@2048,145,all,0.0177,-0.0145,0.052,0.0033,True,-764.6138,-876.875,-656.6709,0.3819,0.3355,0.4328,False,reference_vs_baseline,0.0132,True
response_a,llama,candidate_oracle@15,full_history,145,all,0.0144,-0.0196,0.0494,0.0051,True,-1035.4,-1256.1381,-826.9083,0.3133,0.2634,0.3742,False,reference_vs_baseline,,
response_a,llama,candidate_oracle@15,sliding_window@1024,145,all,0.178,0.1177,0.2401,0.0,True,-411.931,-453.9316,-369.6745,0.5342,0.4895,0.58,False,reference_vs_baseline,,
response_a,llama,candidate_oracle@15,sliding_window@2048,145,all,0.1234,0.069,0.1792,0.0,True,-711.1724,-808.0578,-618.5955,0.3991,0.3535,0.4484,False,reference_vs_baseline,,
response_a,llama,semantic_retrieval@1024,candidate_oracle@15,145,all,-0.0023,-0.0368,0.0316,0.0547,False,420.8483,379.5029,461.9741,1.891,1.7458,2.0627,False,baseline_vs_reference,,
response_a,llama,semantic_retrieval@2048,candidate_oracle@15,145,all,-0.0132,-0.046,0.019,0.1554,False,715.5241,619.8548,813.5043,2.5149,2.235,2.8363,False,baseline_vs_reference,,
response_a,llama,rolling_summary@1024,candidate_oracle@15,145,all,-0.012,-0.0492,0.0248,0.166,False,522.8621,469.0755,576.3733,2.107,1.926,2.3163,False,baseline_vs_reference,,
response_a,llama,rolling_summary@2048,candidate_oracle@15,145,all,-0.0177,-0.051,0.0161,0.2346,False,764.6138,658.7497,876.4388,2.6188,2.3149,2.9802,False,baseline_vs_reference,,
response_a,llama,oracle_dag,semantic_retrieval@1024,145,all,0.0017,-0.0282,0.0333,0.0174,True,-422.2966,-463.6781,-380.6343,0.5272,0.4832,0.5717,False,reference_vs_baseline,,
response_a,llama,oracle_dag,semantic_retrieval@2048,145,all,0.0126,-0.0195,0.0448,0.0041,True,-716.9724,-815.9543,-622.5428,0.3964,0.3511,0.445,False,reference_vs_baseline,,
response_a,llama,oracle_dag,rolling_summary@1024,145,all,0.0114,-0.0213,0.0459,0.0062,True,-524.3103,-578.78,-471.9581,0.4732,0.4302,0.5174,False,reference_vs_baseline,,
response_a,llama,oracle_dag,rolling_summary@2048,145,all,0.0171,-0.0138,0.0499,0.0014,True,-766.0621,-882.3105,-657.0545,0.3807,0.3337,0.4324,False,reference_vs_baseline,,
response_a,llama,oracle_dag,full_history,145,all,0.0138,-0.0184,0.0471,0.0031,True,-1036.8483,-1258.7557,-832.4024,0.3123,0.2631,0.3717,False,reference_vs_baseline,,
response_a,llama,oracle_dag,sliding_window@1024,145,all,0.1775,0.119,0.2389,0.0,True,-413.3793,-455.0831,-372.4621,0.5325,0.4885,0.5761,False,reference_vs_baseline,,
response_a,llama,oracle_dag,sliding_window@2048,145,all,0.1229,0.0694,0.1807,0.0,True,-712.6207,-807.8214,-617.24,0.3979,0.353,0.4478,False,reference_vs_baseline,,
response_b,llama,candidate_oracle@15,semantic_retrieval@1024,145,all,0.0176,-0.0206,0.0578,0.0086,True,-420.8483,-463.0829,-378.0824,0.5288,0.4843,0.5745,False,reference_vs_baseline,0.0344,True
response_b,llama,candidate_oracle@15,semantic_retrieval@2048,145,all,0.008,-0.0293,0.0466,0.0229,True,-715.5241,-812.265,-622.2524,0.3976,0.3529,0.4465,False,reference_vs_baseline,0.045,True
response_b,llama,candidate_oracle@15,rolling_summary@1024,145,all,0.0057,-0.0293,0.0431,0.0225,True,-515.2621,-568.3803,-462.3445,0.4783,0.4348,0.5223,False,reference_vs_baseline,0.045,True
response_b,llama,candidate_oracle@15,rolling_summary@2048,145,all,0.0144,-0.0224,0.0523,0.0093,True,-762.2069,-874.1216,-654.3841,0.3826,0.3368,0.4337,False,reference_vs_baseline,0.0344,True
response_b,llama,candidate_oracle@15,full_history,145,all,0.0207,-0.0167,0.0598,0.0042,True,-1035.4,-1254.4772,-833.5148,0.3133,0.2637,0.3735,False,reference_vs_baseline,,
response_b,llama,candidate_oracle@15,sliding_window@1024,145,all,0.1897,0.1305,0.2506,0.0,True,-411.931,-454.2897,-369.9929,0.5342,0.4884,0.5795,False,reference_vs_baseline,,
